Det,Nombre,Region,Estado,Ciudad,Municipio,Proto,Long,Lat,Con servicio?
4156,Cola De Ballena,Noroeste,Baja California Sur,La Paz,La Paz,SPCT-112,"-110,343,084","24,118,732",Sí
1724,Los Reyes Pza Zumpango,Centro,Mexico,ZM del Valle de México,Zumpango,SPCT-127,"-99,054,728","19,789,880",No
5791,Zinacantepec,Centro,Mexico,ZM de Toluca,Zinacantepec,SPCT-112,"-99,699,316","19,287,137",No
1686,La Cima,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,"-103,411,119","20,744,996",No
3928,Guadalajara Parques,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,"-103,449,000","20,659,000",No
3055,Batan,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,"-103,345,083","20,719,685",No
3956,Calandrias Tesistan,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-90,"-103,455,404","20,776,893",No
2325,Colinas Del Padre,Bajio,Zacatecas,ZM de Zacatecas-Guadalupe,Zacatecas,SPCT-90,"-102,590,717","22,748,780",No
3893,Xalapa,Sureste,Veracruz,ZM de Xalapa,Xalapa,SPCT-112,"-96,907,407","19,541,890",No
2540,Victoria Centro,Noreste,Tamaulipas,Ciudad Victoria,Victoria,SPCT-112,"-99,134,833","23,740,284",No
4122,Playa Norte,Sureste,Veracruz,ZM de Veracruz,Veracruz,SPCT-127,"-96,192,137","19,213,462",No
1202,Horizonte,Centro,Mexico,ZM del Valle de México,Valle de Chalco Solidaridad,SPCT-127,"-98,953,462","19,299,400",No
2050,Uruapan,Occidente,Michoacan,Uruapan,Uruapan,SPCT-112,"-102,037,961","19,425,560",No
3127,Libramiento Norte,Suroeste,Chiapas,ZM de Tuxtla Gutiérrez,Tuxtla Gutiérrez,SPCT-112,"-93,076,700","16,751,500",No
2218,Tuxpan,Sureste,Veracruz,Túxpam de Rodríguez Cano,Tuxpan,SPCT-90,"-97,433,461","20,947,793",No
3622,La Rosita,Norte,Coahuila,ZM de La Laguna,Torreón,SPCT-112,"-103,397,353","25,507,439",No
3211,Independencia Torreon,Norte,Coahuila,ZM de La Laguna,Torreón,SPCT-112,"-103,413,819","25,576,305",No
3113,Nilo Lomas D L Pajaros,Occidente,Jalisco,ZM de Guadalajara,Tonalá,SPCT-112,"-103,274,609","20,639,765",No
2343,Toluca,Centro,Mexico,ZM de Toluca,Toluca,SPCT-127,"-99,639,369","19,280,955",No
5825,Alfredo Del Mazo,Centro,Mexico,ZM de Toluca,Toluca,SPCT-112,"-99,634,353","19,307,819",No
1169,Plaza Arboledas,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,"-99,209,048","19,546,966",No
2041,Toltecas,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,"-99,192,224","19,554,990",No
2023,Macroplaza Insurgentes,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-127,"-116,934,604","32,495,736",No
3664,Diaz Ordaz,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-112,"-116,945,000","32,488,200",No
1616,Pacifico,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-90,"-117,000,210","32,474,796",No
4109,Puerta Texcoco,Centro,Mexico,ZM del Valle de México,Texcoco,SPCT-127,"-98,910,330","19,429,040",No
3257,Tepatitlan,Occidente,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,SPCT-90,"-102,777,901","20,808,274",No
1171,San Jose Tecamac,Centro,Mexico,ZM del Valle de México,Tecámac,SPCT-127,"-98,980,206","19,698,952",No
3016,Macro Plaza Heroes,Centro,Mexico,ZM del Valle de México,Tecámac,SPCT-127,"-99,039,600","19,617,075",No
4072,Tapachula Chiapas,Suroeste,Chiapas,Tapachula de Córdova y Ordóñez,Tapachula,SPCT-127,"-92,283,208","14,874,482",No
1902,Aeropuerto Tampico,Noreste,Tamaulipas,ZM de Tampico,Tampico,SPCT-112,"-97,879,900","22,297,349",No
1205,Alijadores,Noreste,Tamaulipas,ZM de Tampico,Tampico,SPCT-112,"-97,867,711","22,230,357",No
1119,Colon,Occidente,Jalisco,ZM de Guadalajara,San Pedro Tlaquepaque,SPCT-127,"-103,400,437","20,603,601",No
2075,Slp Muñoz,Bajio,San Luis Potosi,ZM de San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosí,SPCT-127,"-100,999,047","22,165,865",No
1682,Salvador Nava,Bajio,San Luis Potosi,ZM de San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosí,SPCT-112,"-100,957,514","22,142,571",No
2465,Saltillo,Norte,Coahuila,ZM de Saltillo,Saltillo,SPCT-127,"-100,980,000","25,424,300",No
3929,Salina Cruz Ii,Suroeste,Oaxaca,ZM de Tehuantepec,Salina Cruz,SPCT-112,"-95,208,992","16,232,143",No
2541,Salamanca,Bajio,Guanajuato,Salamanca,Salamanca,SPCT-90,"-101,184,451","20,591,588",No
1550,Macroplaza Vallarta,Occidente,Jalisco,ZM de Puerto Vallarta,Puerto Vallarta,SPCT-127,"-105,218,992","20,645,710",No
2732,Hospital General,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-112,"-98,240,100","18,987,000",No
1509,15 De Mayo,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-112,"-98,224,344","19,076,741",No
1326,Los Pinos Zaragoza,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-90,"-98,175,034","19,068,815",No
4120,Poza Rica,Sureste,Veracruz,ZM de Poza Rica,Poza Rica de Hidalgo,SPCT-112,"-97,437,533","20,568,688",No
2840,Insurgentes Chetumal,Sureste,Quintana Roo,Chetumal,Othón P. Blanco,SPCT-112,"-88,281,399","18,515,097",No
3506,Simbolos Patrios,Suroeste,Oaxaca,ZM de Oaxaca,Oaxaca de Juárez,SPCT-112,"-96,714,676","17,031,448",No
3091,Nuevo Laredo,Noreste,Tamaulipas,ZM de Nuevo Laredo,Nuevo Laredo,SPCT-112,"-99,517,997","27,444,805",No
2042,Greco Nogales,Noroeste,Sonora,Heroica Nogales,Nogales,SPCT-112,"-110,941,743","31,289,308",No
2643,Nicolas Romero,Centro,Mexico,ZM del Valle de México,Nicolás Romero,SPCT-127,"-99,292,183","19,627,014",No
3355,Estadio,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-112,"-101,223,603","19,728,243",No
3720,Lincoln,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,"-100,369,720","25,730,755",No
3051,Plaza Centrika,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,"-100,308,379","25,701,121",No
4137,Chapultepec,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,"-100,280,615","25,665,657",No
2304,Mexicali,Noroeste,Baja California,ZM de Mexicali,Mexicali,SPCT-127,"-115,455,678","32,622,652",No
1617,Mexicali Novena,Noroeste,Baja California,ZM de Mexicali,Mexicali,SPCT-112,"-115,385,232","32,633,963",No
2383,Merida,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,"-89,616,045","20,986,177",No
3555,Periferico Merida,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,"-89,673,300","20,996,800",No
3253,Altabrisa,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,"-89,583,038","21,011,797",No
2204,Marina Mazatlan,Noroeste,Sinaloa,Mazatlán,Mazatlán,SPCT-112,"-106,445,167","23,279,118",No
2080,Slp Arboledas,Bajio,San Luis Potosi,Matehuala,Matehuala,SPCT-90,"-100,638,629","23,657,654",No
3719,Matamoros,Noreste,Tamaulipas,ZM de Matamoros,Matamoros,SPCT-127,"-97,519,514","25,859,434",No
3745,Clouthier,Bajio,Guanajuato,ZM de Leon,León,SPCT-127,"-101,691,000","21,161,500",No
5687,Boulevard Delta,Bajio,Guanajuato,ZM de Leon,León,SPCT-112,"-101,609,706","21,110,330",No
1974,Bosques De Renteria,Bajio,Guanajuato,ZM de Leon,León,SPCT-112,"-101,648,280","21,123,415",No
3198,Cerro Grande,Occidente,Michoacan,ZM de La Piedad-Pénjamo,La Piedad,SPCT-90,"-102,051,072","20,352,701",No
4138,Villa De Juarez,Noreste,Nuevo Leon,ZM de Monterrey,Juárez,SPCT-127,"-100,111,950","25,650,201",No
5764,Torres Del Sur,Norte,Chihuahua,ZM de Juárez,Juárez,SPCT-112,"-106,393,259","31,633,547",No
2049,Zaragoza,Norte,Chihuahua,ZM de Juárez,Juárez,SPCT-127,"-106,442,094","31,657,191",No
2089,Plaza Monumental,Norte,Chihuahua,ZM de Juárez,Juárez,SPCT-112,"-106,443,296","31,735,283",No
5727,Jiutepec,Centro,Morelos,ZM de Cuernavaca,Jiutepec,SPCT-127,"-99,174,767","18,901,384",No
3357,Irapuato Sur,Bajio,Guanajuato,Irapuato,Irapuato,SPCT-112,"-101,342,000","20,656,900",No
2219,Huehuetoca Jorobas,Centro,Mexico,ZM del Valle de México,Huehuetoca,SPCT-127,"-99,237,985","19,841,238",No
1170,Parral,Norte,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,SPCT-90,"-105,650,620","26,932,382",No
2303,Hermosillo,Noroeste,Sonora,Hermosillo,Hermosillo,SPCT-127,"-110,968,397","29,067,377",No
3746,Solidaridad,Noroeste,Sonora,Hermosillo,Hermosillo,SPCT-127,"-110,994,163","29,098,279",No
3794,Acueducto De Gpe.,Centro,Distrito Federal,ZM del Valle de México,Gustavo A. Madero,SPCT-127,"-99,155,984","19,530,956",No
1727,Sinaloa Guasave,Noroeste,Sinaloa,Guasave,Guasave,SPCT-90,"-108,473,664","25,581,298",No
3800,Guadalupe Nvo Leon,Noreste,Nuevo Leon,ZM de Monterrey,Guadalupe,SPCT-112,"-100,202,460","25,673,208",No
4548,Eloy Cavazos,Noreste,Nuevo Leon,ZM de Monterrey,Guadalupe,SPCT-127,"-100,209,612","25,652,489",No
4540,16 De Septiembre,Occidente,Jalisco,ZM de Guadalajara,Guadalajara,SPCT-127,"-103,348,319","20,664,569",No
2645,Escobedo Norte,Noreste,Nuevo Leon,ZM de Monterrey,General Escobedo,SPCT-112,"-100,327,269","25,793,154",No
2947,Ensenada Centro,Noroeste,Baja California,Ensenada,Ensenada,SPCT-112,"-116,609,340","31,868,194",No
3005,Plaza Aragon,Centro,Mexico,ZM del Valle de México,Ecatepec de Morelos,SPCT-127,"-99,025,142","19,531,440",No
3503,Ecatepec Centro,Centro,Mexico,ZM del Valle de México,Ecatepec de Morelos,SPCT-127,"-99,045,690","19,606,576",No
3014,Durango El Eden,Norte,Durango,Victoria de Durango,Durango,SPCT-112,"-104,652,240","24,004,533",No
3071,Francisco Villa,Norte,Durango,Victoria de Durango,Durango,SPCT-112,"-104,611,396","24,055,876",No
1138,Delicias,Norte,Chihuahua,Delicias,Delicias,SPCT-90,"-105,465,000","28,199,500",No
5700,Mexico 68,Noroeste,Sinaloa,Culiacán Rosales,Culiacán,SPCT-127,"-107,394,943","24,779,121",No
1585,La Isla,Noroeste,Sinaloa,Culiacán Rosales,Culiacán,SPCT-112,"-107,369,267","24,824,728",No
4090,Los Atrios,Centro,Morelos,ZM de Cuautla,Cuautla,SPCT-127,"-98,950,247","18,869,703",No
1044,San Marcos Izcalli,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-127,"-99,204,704","19,671,394",No
1834,Plaza Del Lago,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-127,"-99,223,369","19,638,361",No
1623,Cuauhtemoc,Norte,Chihuahua,Cuauhtémoc,Cuauhtémoc,SPCT-90,"-106,838,229","28,401,958",No
2430,Copilco,Centro,Distrito Federal,ZM del Valle de México,Coyoacán,SPCT-112,"-99,184,163","19,338,250",No
2946,Pueblito,Bajio,Queretaro,ZM de Querétaro,Corregidora,SPCT-90,"-100,434,362","20,538,672",No
1624,Comitan,Suroeste,Chiapas,Comitán de Domínguez,Comitán de Domínguez,SPCT-112,"-92,113,754","16,217,291",No
3879,Colima,Occidente,Colima,ZM de Colima-Villa de Álvarez,Colima,SPCT-112,"-103,715,657","19,238,524",No
4024,Coatzacoalcos,Sureste,Veracruz,ZM de Coatzacoalcos,Coatzacoalcos,SPCT-112,"-94,471,722","18,139,977",No
3900,Coacalco,Centro,Mexico,ZM del Valle de México,Coacalco de Berriozábal,SPCT-112,"-99,097,339","19,636,524",No
4025,Cd Madero,Noreste,Tamaulipas,ZM de Tampico,Ciudad Madero,SPCT-112,"-97,853,000","22,253,000",No
3608,Playa Miramar,Noreste,Tamaulipas,ZM de Tampico,Ciudad Madero,SPCT-90,"-97,842,141","22,277,500",No
1684,Chilpancingo,Suroeste,Guerrero,Chilpancingo de los Bravo,Chilpancingo de los Bravo,SPCT-112,"-99,489,727","17,525,690",No
2302,Chihuahua,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-127,"-106,119,448","28,634,379",No
5728,Norte 2000,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-127,"-106,129,925","28,727,456",No
3033,Fuentes Mares,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-90,"-106,028,991","28,619,029",No
3358,Cordilleras,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-112,"-106,139,165","28,697,890",No
1683,Vicente Guerrero,Centro,Mexico,ZM del Valle de México,Chalco,SPCT-127,"-98,877,900","19,261,400",No
3894,Villahermosa I,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,"-92,924,802","18,001,408",No
2468,Villahermosa Ii,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,"-92,940,323","17,979,231",No
1031,Tabasco 2000,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,"-92,969,055","17,989,264",No
2091,El Sauz Celaya,Bajio,Guanajuato,ZM de Celaya,Celaya,SPCT-127,"-100,838,554","20,548,325",No
1685,Aeropuerto Cd D Carmen,Sureste,Campeche,Ciudad del Carmen,Carmen,SPCT-112,"-91,801,969","18,646,369",No
3605,Combo Electricistas,Sureste,Campeche,San Francisco de Campeche,Campeche,SC-90,"-90,544,677","19,824,160",No
2646,Carr Inter Obregon,Noroeste,Sonora,Ciudad Obregón,Cajeme,SPCT-112,"-109,926,959","27,481,438",No
3632,Cancun Comancalco,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-112,"-86,860,466","21,148,529",No
1084,Nichupte,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-112,"-86,852,018","21,139,791",No
5855,Las Alamedas,Centro,Mexico,ZM del Valle de México,Atizapán de Zaragoza,SPCT-112,"-99,244,106","19,554,627",No
2731,El Molinito Tlaxcala,Centro,Tlaxcala,ZM de Tlaxcala-Apizaco,Apetatitlán de Antonio Carvajal,SPCT-112,"-98,200,198","19,340,290",No
1204,Mochis Sur,Noroeste,Sinaloa,Los Mochis,Ahome,SPCT-112,"-109,002,431","25,785,758",No
1549,Av De Los Maestros,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SPCT-112,"-102,315,000","21,858,600",No
2271,Aguascalientes Oriente,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SPCT-112,"-102,257,988","21,882,268",No
2734,Plaza Ana,Occidente,Michoacan,ZM de Zamora-Jacona,Zamora,SPCT-90,"-102,295,190","19,975,097",Sí
3630,Las Adelitas,Noreste,Tamaulipas,Ciudad Victoria,Victoria,SPCT-112,"-99,156,511","23,752,347",Sí
5702,Santin,Centro,Mexico,ZM de Toluca,Toluca,SPCT-127,"-99,590,790","19,351,100",Sí
5469,Rio De Los Remedios,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,"-99,116,881","19,519,076",Sí
3895,Tepic,Occidente,Nayarit,ZM de Tepic,Tepic,SPCT-112,"-104,881,686","21,491,529",Sí
2648,Plaza El Paseo,Centro,Puebla,ZM de Tehuacán,Tehuacán,SPCT-112,"-97,415,364","18,467,912",Sí
1003,Playa Del Carmen,Sureste,Quintana Roo,Playa del Carmen,Solidaridad,SPCT-112,"-87,076,171","20,629,277",Sí
1804,Macro Plaza Oaxaca,Suroeste,Oaxaca,ZM de Oaxaca,Santa Lucía del Camino,SPCT-112,"-96,694,840","17,066,971",Sí
2074,Carretera 57,Bajio,San Luis Potosi,ZM de San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosí,SPCT-127,"-100,934,649","22,138,534",Sí
3945,Av Central,Bajio,Queretaro,San Juan del Río,San Juan del Río,SPCT-90,"-99,982,411","20,398,643",Sí
2374,Jardines Del Country,Bajio,Guanajuato,Salamanca,Salamanca,SC-90,"-101,223,937","20,583,465",Sí
4187,Rosarito,Noroeste,Baja California,ZM de Tijuana,Playas de Rosarito,SPCT-112,"-117,058,919","32,378,427",Sí
3241,Plaza Del Valle,Sureste,Veracruz,ZM de Orizaba,Orizaba,SPCT-112,"-97,094,811","18,862,674",Sí
2079,Cd Jardin,Centro,Mexico,ZM del Valle de México,Nezahualcóyotl,SPCT-127,"-99,028,924","19,425,299",Sí
2381,Morelia,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-127,"-101,220,271","19,679,574",Sí
1108,Altozano,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-112,"-101,164,118","19,669,277",Sí
3718,Ejercito Mexicano,Noroeste,Sinaloa,Mazatlán,Mazatlán,SPCT-112,"-106,423,796","23,244,407",Sí
2433,Leon Torres Landa,Bajio,Guanajuato,ZM de Leon,León,SPCT-127,"-101,660,000","21,098,300",Sí
3356,Lazaro Cardenas,Occidente,Michoacan,Ciudad Lázaro Cárdenas,Lázaro Cárdenas,SPCT-112,"-102,212,659","17,978,257",Sí
